n,method,encoding,backend,status,runs,solve_time_mean_sec,solve_time_median_sec,solve_time_std_sec,solve_time_min_sec,solve_time_max_sec,total_time_mean_sec,total_time_median_sec,total_time_std_sec,total_time_min_sec,total_time_max_sec
300,sat,binary,glucose3,SAT,1,2.678506799999923,2.678506799999923,,2.678506799999923,2.678506799999923,6.757549099999778,6.757549099999778,,6.757549099999778,6.757549099999778
150,sat,commander,glucose3,SAT,1,0.4427812999992966,0.4427812999992966,,0.4427812999992966,0.4427812999992966,0.9791639999994004,0.9791639999994004,,0.9791639999994004,0.9791639999994004
200,sat,commander,glucose3,SAT,1,0.300681199999417,0.300681199999417,,0.300681199999417,0.300681199999417,1.2673314999992726,1.2673314999992726,,1.2673314999992726,1.2673314999992726
300,sat,commander,glucose3,SAT,1,0.7031201999998302,0.7031201999998302,,0.7031201999998302,0.7031201999998302,2.782256999999845,2.782256999999845,,2.782256999999845,2.782256999999845
500,sat,commander,glucose3,SAT,1,8.116556500000115,8.116556500000115,,8.116556500000115,8.116556500000115,15.309307600000466,15.309307600000466,,15.309307600000466,15.309307600000466
150,sat,pairwise,glucose3,SAT,1,0.1231064000003243,0.1231064000003243,,0.1231064000003243,0.1231064000003243,7.108405200000561,7.108405200000561,,7.108405200000561,7.108405200000561
200,sat,pairwise,glucose3,SAT,1,0.7186419999998179,0.7186419999998179,,0.7186419999998179,0.7186419999998179,18.206599399999504,18.206599399999504,,18.206599399999504,18.206599399999504
150,sat,product,glucose3,SAT,1,1.422267400000237,1.422267400000237,,1.422267400000237,1.422267400000237,1.8205478000008952,1.8205478000008952,,1.8205478000008952,1.8205478000008952
200,sat,product,glucose3,SAT,1,1.2674831000003906,1.2674831000003906,,1.2674831000003906,1.2674831000003906,1.9848267000006672,1.9848267000006672,,1.9848267000006672,1.9848267000006672
300,sat,product,glucose3,SAT,1,6.538893599999938,6.538893599999938,,6.538893599999938,6.538893599999938,8.402133500000673,8.402133500000673,,8.402133500000673,8.402133500000673
500,sat,product,glucose3,SAT,1,2.2594723000001977,2.2594723000001977,,2.2594723000001977,2.2594723000001977,7.327594999999746,7.327594999999746,,7.327594999999746,7.327594999999746
