n,method,encoding,backend,status,runs,solve_time_mean_sec,solve_time_median_sec,solve_time_std_sec,solve_time_min_sec,solve_time_max_sec,total_time_mean_sec,total_time_median_sec,total_time_std_sec,total_time_min_sec,total_time_max_sec
8,cplex-cp,,cplex-cp,FEASIBLE,1,0.0692428999991534,0.0692428999991534,,0.0692428999991534,0.0692428999991534,0.5657125999987329,0.5657125999987329,,0.5657125999987329,0.5657125999987329
16,cplex-cp,,cplex-cp,FEASIBLE,1,0.0428933999992295,0.0428933999992295,,0.0428933999992295,0.0428933999992295,0.8404311999984202,0.8404311999984202,,0.8404311999984202,0.8404311999984202
20,cplex-cp,,cplex-cp,FEASIBLE,1,0.0314831000014237,0.0314831000014237,,0.0314831000014237,0.0314831000014237,0.481184200001735,0.481184200001735,,0.481184200001735,0.481184200001735
25,cplex-cp,,cplex-cp,FEASIBLE,1,0.0330512000000453,0.0330512000000453,,0.0330512000000453,0.0330512000000453,0.5649907999995776,0.5649907999995776,,0.5649907999995776,0.5649907999995776
30,cplex-cp,,cplex-cp,FEASIBLE,1,0.0474939999985508,0.0474939999985508,,0.0474939999985508,0.0474939999985508,0.6501590999978362,0.6501590999978362,,0.6501590999978362,0.6501590999978362
8,cplex-mip,,cplex-mip,OPTIMAL,1,0.0120046000010916,0.0120046000010916,,0.0120046000010916,0.0120046000010916,0.8313500000022032,0.8313500000022032,,0.8313500000022032,0.8313500000022032
16,cplex-mip,,cplex-mip,OPTIMAL,1,0.006519800001115,0.006519800001115,,0.006519800001115,0.006519800001115,1.394965300001786,1.394965300001786,,1.394965300001786,1.394965300001786
20,cplex-mip,,cplex-mip,OPTIMAL,1,0.0305602999997063,0.0305602999997063,,0.0305602999997063,0.0305602999997063,0.7888530000000173,0.7888530000000173,,0.7888530000000173,0.7888530000000173
25,cplex-mip,,cplex-mip,OPTIMAL,1,0.0126403000012942,0.0126403000012942,,0.0126403000012942,0.0126403000012942,0.4219017000013991,0.4219017000013991,,0.4219017000013991,0.4219017000013991
30,cplex-mip,,cplex-mip,OPTIMAL,1,0.0121548000006441,0.0121548000006441,,0.0121548000006441,0.0121548000006441,0.4262530000014521,0.4262530000014521,,0.4262530000014521,0.4262530000014521
8,cpsat,,ortools-cp-sat,OPTIMAL,1,0.0215174999993905,0.0215174999993905,,0.0215174999993905,0.0215174999993905,0.6204533999989508,0.6204533999989508,,0.6204533999989508,0.6204533999989508
16,cpsat,,ortools-cp-sat,OPTIMAL,1,0.069313099998908,0.069313099998908,,0.069313099998908,0.069313099998908,1.3001356999993732,1.3001356999993732,,1.3001356999993732,1.3001356999993732
20,cpsat,,ortools-cp-sat,OPTIMAL,1,0.0596662000007199,0.0596662000007199,,0.0596662000007199,0.0596662000007199,1.0458869000012785,1.0458869000012785,,1.0458869000012785,1.0458869000012785
25,cpsat,,ortools-cp-sat,OPTIMAL,1,0.0516200000001845,0.0516200000001845,,0.0516200000001845,0.0516200000001845,0.4007246999990457,0.4007246999990457,,0.4007246999990457,0.4007246999990457
30,cpsat,,ortools-cp-sat,OPTIMAL,1,0.0848819000002549,0.0848819000002549,,0.0848819000002549,0.0848819000002549,0.5031962000011845,0.5031962000011845,,0.5031962000011845,0.5031962000011845
8,gurobi,,gurobi,OPTIMAL,1,0.0017797000000427,0.0017797000000427,,0.0017797000000427,0.0017797000000427,0.0832924999995157,0.0832924999995157,,0.0832924999995157,0.0832924999995157
16,gurobi,,gurobi,OPTIMAL,1,0.0436432999995304,0.0436432999995304,,0.0436432999995304,0.0436432999995304,0.1110700000008364,0.1110700000008364,,0.1110700000008364,0.1110700000008364
20,gurobi,,gurobi,OPTIMAL,1,0.0004759000003105,0.0004759000003105,,0.0004759000003105,0.0004759000003105,0.0262294000003748,0.0262294000003748,,0.0262294000003748,0.0262294000003748
25,gurobi,,gurobi,OPTIMAL,1,0.000487699999212,0.000487699999212,,0.000487699999212,0.000487699999212,0.0218303999990894,0.0218303999990894,,0.0218303999990894,0.0218303999990894
30,gurobi,,gurobi,OPTIMAL,1,0.0004005999999208,0.0004005999999208,,0.0004005999999208,0.0004005999999208,0.0517655999992712,0.0517655999992712,,0.0517655999992712,0.0517655999992712
